,reportedCity,dateOfLoss,elevatedBuildingIndicator,floodZone,latitude,longitude,lowestFloodElevation,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,yearofLoss,reportedZipcode,id
0,HOUSTON,2017-08-27T00:00:00.000Z,False,X,29.7,-95.5,,195857.43,0.0,2017-01-01T00:00:00.000Z,77096,5e398d6774cbd479fc898dea
1,HOUSTON,2008-09-12T00:00:00.000Z,False,X,29.5,-95.1,,0.0,0.0,2008-01-01T00:00:00.000Z,77058,5e398d6774cbd479fc898dfc
2,HOUSTON,2004-06-29T00:00:00.000Z,False,X,29.8,-95.6,,1420.89,0.0,2004-01-01T00:00:00.000Z,77042,5e398d6774cbd479fc898e4b
3,HOUSTON,2009-04-28T00:00:00.000Z,False,X,29.8,-95.6,,2019.66,0.0,2009-01-01T00:00:00.000Z,77042,5e398d6774cbd479fc898e4c
4,HOUSTON,2001-06-09T00:00:00.000Z,False,X,29.7,-95.3,,13530.4,494.53,2001-01-01T00:00:00.000Z,77087,5e398d6774cbd479fc898ee0
5,HOUSTON,2006-06-19T00:00:00.000Z,False,X,29.7,-95.3,,18577.2,1775.96,2006-01-01T00:00:00.000Z,77087,5e398d6774cbd479fc898ee1
6,HOUSTON,2006-06-19T00:00:00.000Z,False,X,29.7,-95.3,,0.0,0.0,2006-01-01T00:00:00.000Z,77087,5e398d6774cbd479fc898ee2
7,HOUSTON,2009-08-21T00:00:00.000Z,False,X,29.8,-95.6,,0.0,0.0,2009-01-01T00:00:00.000Z,77079,5e398d6774cbd479fc898f39
8,HOUSTON,2011-12-25T00:00:00.000Z,False,X,29.8,-95.6,,0.0,0.0,2011-01-01T00:00:00.000Z,77079,5e398d6774cbd479fc898f3a
9,HOUSTON,2000-05-02T00:00:00.000Z,False,X,30.0,-95.5,,186.5,0.0,2000-01-01T00:00:00.000Z,77066,5e398d6774cbd479fc898f94
10,HOUSTON,2017-08-28T00:00:00.000Z,False,X,29.7,-95.5,,231888.28,65814.56,2017-01-01T00:00:00.000Z,77096,5e398d6774cbd479fc898fb4
